Feature,Importance
WILLR_14,0.23330341
STOCHh_14_3_3,0.062163316
total_vol,0.060327206
BBP_20_2.0_2.0,0.057479616
NATR_14,0.054147724
bid_vol,0.048363402
ask_vol,0.041102037
MOM_10,0.03965918
PVI,0.02957805
STOCHRSIk_14_14_3_3,0.01887333
ATRr_14,0.018382702
AROONU_14,0.016136322
ZS_30,0.014954336
AROOND_14,0.0143802455
delta_vol,0.013415538
BBB_20_2.0_2.0,0.012535067
RSI_14,0.012437512
VAR_30,0.012272538
TSI_13_25_13,0.011775864
DMN_14,0.010414926
DMP_14,0.009826661
TSIs_13_25_13,0.009458976
MACDs_12_26_9,0.009080508
CKSPl_10_3_20,0.008833316
MACD_12_26_9,0.00855064
AROONOSC_14,0.008330012
EMA_10,0.008066006
TRIX_30_9,0.007957152
MAD_30,0.00758992
UO_7_14_28,0.0074293055
TRIXs_30_9,0.0071759643
CKSPs_10_3_20,0.007033062
cvd,0.0067294855
KURT_30,0.00658078
EMA_50,0.0064630634
AD,0.006038112
MACDh_12_26_9,0.005954284
UI_14,0.005577915
PVIe_255,0.00527854
last_funding_rate,0.0052144094
CMF_20,0.005094877
STOCHRSId_14_14_3_3,0.0050009415
OBV,0.0047936784
ADXR_14_2,0.0047604865
EOM_14_100000000,0.004428551
STOCHd_14_3_3,0.0044111465
avg_bid_vol,0.0042827297
CCI_14_0.015,0.004197918
NVI_1,0.0041451887
MFI_14,0.004077758
VTXM_14,0.0040557436
SKEW_30,0.004032561
avg_ask_vol,0.003531033
AO_5_34,0.003141545
ROC_12,0.0030809855
HMA_9,0.0029467833
max_ask_vol,0.0021314707
TEMA_9,0.0020400083
DPO_20,0.0009761333
max_bid_vol,0.0
ADX_14,0.0
SMA_200,0.0
EMA_20,0.0
STOCHk_14_3_3,0.0
EMA_100,0.0
VTXP_14,0.0
ENTP_30,0.0
