tcn_filters,num_tcn_blocks,lookback,dropout,use_class_weights,val_accuracy,val_f1_weighted,val_f1_macro
128,3,16,0.2,False,0.5257692307692308,0.5263718187407413,0.5210308784181591
64,2,16,0.3,False,0.5246153846153846,0.5171001984604371,0.5050586119952079
128,4,32,0.3,True,0.5160108024691358,0.5130077373663174,0.5050481260050336
32,3,16,0.3,False,0.5230769230769231,0.5123342261495529,0.4993125962893779
32,3,16,0.3,True,0.509423076923077,0.5050358495198272,0.49584736012271163
128,4,32,0.1,False,0.4994212962962963,0.49677791742118804,0.4897658962925992
32,3,32,0.2,True,0.4913194444444444,0.490357896805082,0.4838181830537871
64,2,16,0.2,False,0.5030769230769231,0.4903505038586773,0.47574144856839623
64,2,16,0.1,False,0.5,0.4838482284731151,0.4673331829647937
32,3,32,0.3,True,0.48148148148148145,0.4795303006559388,0.4723721185629235
128,2,16,0.1,True,0.49423076923076925,0.47645557909968866,0.4620624382339429
32,2,32,0.2,True,0.4818672839506173,0.4757693443872579,0.4645557406062486
64,2,32,0.2,True,0.47781635802469136,0.4753871780285866,0.46469533935036367
32,2,32,0.1,True,0.47337962962962965,0.47192866564148905,0.46325250995097084
32,2,32,0.1,False,0.46585648148148145,0.45323360978492055,0.43779619642388834
64,2,64,0.3,True,0.43691770186335405,0.4358999062377783,0.43550721060340364
128,3,64,0.1,False,0.4390527950310559,0.43098400498166667,0.41573894982893966
128,3,64,0.3,False,0.4590450310559006,0.423455841303933,0.3964583065234819
32,3,64,0.3,False,0.41867236024844723,0.4170552913739049,0.416407194378003
32,4,64,0.2,True,0.4081909937888199,0.41211075902659805,0.4070038132524186
